fase;inde;iaa;ieg;ips;ida;ipv;ian;defasagem;ano;pedra;genero;instituicao_ensino;ano_nascimento;ipp;idade;escola_publica;genero_binario;perfil_defasagem
5;8,921;8,3;9,6;8,1;7,7;9,583;10,0;0;2022;Topázio;Menina;Rede Decisão;2007;9,0;15;0;0;Em fase
5;6,308;8,3;6,6;7,5;4,8;6,292;5,0;-2;2022;Ágata;Menina;Escola Pública;2005;6,9;17;1;0;Moderada
5;7,54;9,2;7,8;6,9;6,7;8,5;5,0;-1;2022;Ametista;Menino;Escola Pública;2006;8,3;16;1;1;Moderada
5;7,468;7,5;8,8;5,0;6,9;6,292;10,0;0;2022;Ametista;Menina;Rede Decisão;2007;8,2;15;0;0;Em fase
5;9,354;8,8;10,0;9,4;8,5;9,667;10,0;0;2022;Topázio;Menina;Rede Decisão;2007;9,0;15;0;0;Em fase
5;6,158;8,8;6,3;7,5;5,0;5,833;5,0;-1;2022;Ágata;Menino;Escola Pública;2006;6,0;16;1;1;Moderada
4;7,618;8,8;7,8;5,0;7,6;7,25;10,0;1;2022;Ametista;Menina;Rede Decisão;2009;7,1;13;0;0;Em fase
4;7,305;7,9;8,3;7,5;7,6;6,833;5,0;-1;2022;Ametista;Menina;Escola Pública;2007;7,2;15;1;0;Moderada
4;6,922;6,7;7,7;6,9;5,7;6,0;10,0;0;2022;Ágata;Menino;Escola Pública;2008;6,8;14;1;1;Em fase
4;8,107;7,9;8,7;7,5;7,3;7,708;10,0;1;2022;Topázio;Menina;Rede Decisão;2009;8,3;13;0;0;Em fase
4;6,315;7,9;8,7;7,5;3,7;6,708;2,5;-4;2022;Ágata;Menino;Escola Pública;2004;7,0;18;1;1;Severa
4;6,846;7,9;8,2;5,6;6,7;7,417;2,5;-3;2022;Ágata;Menino;Rede Decisão;2005;7,8;17;0;1;Severa
4;7,973;9,2;8,0;9,4;7,4;8,375;5,0;-1;2022;Ametista;Menina;Rede Decisão;2007;8,6;15;0;0;Moderada
4;6,258;7,5;6,4;7,5;4,6;6,5;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,6;15;1;0;Moderada
4;5,547;4,6;7,7;5,0;5,0;6,125;2,5;-3;2022;Quartzo;Menina;Escola Pública;2005;5,7;17;1;0;Severa
4;8,512;8,8;10,0;8,8;8,4;8,667;5,0;-2;2022;Topázio;Menino;Rede Decisão;2006;8,4;16;0;1;Moderada
4;8,15;9,2;9,7;5,6;6,7;8,0;10,0;0;2022;Topázio;Menino;Rede Decisão;2008;7,9;14;0;1;Em fase
4;8,646;7,5;9,4;8,1;8,0;8,667;10,0;1;2022;Topázio;Menina;Rede Decisão;2009;8,7;13;0;0;Em fase
4;7,836;7,9;7,8;6,3;8,5;8,833;5,0;-1;2022;Ametista;Menina;Rede Decisão;2007;8,9;15;0;0;Moderada
4;3,032;0,0;0,0;5,0;3,7;3,792;5,0;-1;2022;Quartzo;Menina;Rede Decisão;2007;5,3;15;0;0;Moderada
4;5,894;7,9;6,3;7,5;5,3;5,0;5,0;-2;2022;Quartzo;Menino;Escola Pública;2006;5,3;16;1;1;Moderada
4;5,886;8,3;6,8;6,3;3,8;5,583;5,0;-2;2022;Quartzo;Menina;Escola Pública;2006;6,9;16;1;0;Moderada
4;6,854;5,8;8,1;6,3;5,9;7,792;5,0;-2;2022;Ágata;Menina;Escola Pública;2006;7,9;16;1;0;Moderada
4;6,685;7,9;6,3;6,9;6,1;7,417;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,4;15;1;0;Moderada
4;5,597;0,0;5,3;6,3;3,9;6,958;10,0;0;2022;Quartzo;Menina;Escola Pública;2008;7,4;14;1;0;Em fase
4;7,501;8,3;8,2;5,6;5,4;7,875;10,0;0;2022;Ametista;Menina;Rede Decisão;2008;8,2;14;0;0;Em fase
4;6,825;8,3;5,9;7,5;6,2;7,667;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;7,9;15;1;1;Moderada
4;7,245;7,1;8,4;6,3;7,2;7,625;5,0;-2;2022;Ametista;Menina;Escola Pública;2006;7,6;16;1;0;Moderada
4;5,061;7,9;3,4;7,5;1,8;4,958;10,0;0;2022;Quartzo;Menina;Escola Pública;2008;4,9;14;1;0;Em fase
4;7,084;7,9;8,6;5,6;6,5;7,292;5,0;-2;2022;Ametista;Menino;Rede Decisão;2006;7,6;16;0;1;Moderada
4;7,388;7,9;7,8;5,0;6,7;7,167;10,0;0;2022;Ametista;Menino;Rede Decisão;2008;7,6;14;0;1;Em fase
4;7,619;8,8;8,5;7,5;7,1;7,75;5,0;-1;2022;Ametista;Menina;Escola Pública;2007;8,2;15;1;0;Moderada
4;6,289;7,1;5,8;7,5;4,4;7,417;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;8,1;15;1;1;Moderada
4;8,283;7,5;8,7;7,5;7,9;8,125;10,0;0;2022;Topázio;Menina;Escola Pública;2008;8,4;14;1;0;Em fase
4;5,563;0,0;6,2;7,5;5,6;6,167;5,0;-1;2022;Quartzo;Menino;Escola Pública;2007;7,2;15;1;1;Moderada
4;6,926;6,7;6,4;7,5;6,7;7,792;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;8,3;15;1;1;Moderada
4;5,624;8,3;4,7;5,0;4,1;6,5;5,0;-2;2022;Quartzo;Menina;Escola Pública;2006;7,3;16;1;0;Moderada
4;7,174;8,8;9,0;5,6;5,6;7,75;5,0;-1;2022;Ametista;Menina;Escola Pública;2007;7,6;15;1;0;Moderada
4;8,355;10,0;8,8;5,6;7,7;8,458;10,0;0;2022;Topázio;Menina;Rede Decisão;2008;8,0;14;0;0;Em fase
4;6,875;7,9;7,1;7,5;5,6;7,625;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,7;15;1;0;Moderada
4;6,607;8,8;6,8;7,5;4,7;7,375;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;7,0;15;1;0;Moderada
4;7,692;8,3;7,8;5,6;8,6;8,583;5,0;-1;2022;Ametista;Menina;Escola Pública;2007;8,1;15;1;0;Moderada
4;6,478;10,0;6,3;7,5;4,6;6,667;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;7,1;15;1;1;Moderada
4;7,056;7,5;8,9;5,0;7,3;7,792;2,5;-3;2022;Ametista;Menina;Rede Decisão;2005;7,6;17;0;0;Severa
4;6,738;9,6;8,0;5,6;5,6;6,375;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;7,2;15;1;1;Moderada
4;3,738;7,1;3,5;5,0;1,4;3,917;2,5;-3;2022;Quartzo;Menino;Escola Pública;2005;5,1;17;1;1;Severa
4;7,407;7,9;7,6;6,9;5,7;7,667;10,0;0;2022;Ametista;Menina;Escola Pública;2008;7,3;14;1;0;Em fase
4;7,118;9,2;8,2;5,6;5,7;5,917;10,0;0;2022;Ametista;Menino;Escola Pública;2008;6,7;14;1;1;Em fase
4;7,457;6,7;8,6;5,6;6,3;7,583;10,0;0;2022;Ametista;Menina;Escola Pública;2008;7,3;14;1;0;Em fase
4;8,638;8,3;9,9;5,6;7,9;9,5;10,0;1;2022;Topázio;Menino;Rede Decisão;2009;7,9;13;0;1;Em fase
4;8,181;7,5;9,3;5,0;7,9;8,292;10,0;0;2022;Topázio;Menina;Rede Decisão;2008;8,3;14;0;0;Em fase
4;5,846;0,0;6,3;8,1;5,2;7,25;5,0;-2;2022;Quartzo;Menino;Escola Pública;2006;7,9;16;1;1;Moderada
4;7,947;8,3;9,2;7,5;7,9;8,208;5,0;-1;2022;Ametista;Menina;Escola Pública;2007;8,1;15;1;0;Moderada
4;7,541;8,3;7,7;7,5;6,1;7,25;10,0;0;2022;Ametista;Menina;Escola Pública;2008;7,5;14;1;0;Em fase
4;7,894;9,2;7,9;10,0;5,3;7,708;10,0;0;2022;Ametista;Menino;Escola Pública;2008;7,9;14;1;1;Em fase
4;6,323;9,2;6,5;7,5;5,0;6,125;5,0;-1;2022;Ágata;Menina;Escola Pública;2007;6,3;15;1;0;Moderada
4;6,962;9,6;6,3;6,9;6,9;7,333;5,0;-2;2022;Ágata;Menina;Escola Pública;2006;7,1;16;1;0;Moderada
4;7,563;8,8;7,5;6,9;8,3;7,958;5,0;-2;2022;Ametista;Menina;Escola Pública;2006;7,4;16;1;0;Moderada
4;6,712;8,3;7,0;7,5;6,5;6,292;5,0;-2;2022;Ágata;Menina;Escola Pública;2006;6,7;16;1;0;Moderada
4;7,535;7,9;8,2;5,0;6,6;7,708;10,0;0;2022;Ametista;Menina;Rede Decisão;2008;7,4;14;0;0;Em fase
4;6,073;8,3;6,1;6,3;4,0;6,833;5,0;-1;2022;Ágata;Menino;Escola Pública;2007;7,3;15;1;1;Moderada
4;7,051;10,0;8,3;7,5;5,2;6,833;5,0;-2;2022;Ametista;Menino;Escola Pública;2006;7,3;16;1;1;Moderada
4;7,357;10,0;8,3;9,4;4,4;7,792;5,0;-1;2022;Ametista;Menino;Escola Pública;2007;8,2;15;1;1;Moderada
